"ticker_code","sector_name","statement_date","stocks_amount","div_yield","assets","disponibility","current_assets","gross_debt","net_debt","liquid_equity","net_revenue","ebit","liquid_profit","price_date","price_value"
BOAS3,Bens Industriais,2022-03-31,531831000,1.50,2561830000,1316730000,1487330000,68465000,-1248260000,793966000,2082460000,202137000,193724000,2022-06-22,5.3
MELK3,Bens Industriais,2022-03-31,207969000,11.30,1994310000,379340000,1720410000,28948000,-350392000,813779000,1177180000,92647000,90510000,2022-06-22,3.51
HBSA3,Bens Industriais,2022-03-31,760383000,0.00,5907670000,537063000,1068940000,4230070000,3693000000,1372530000,1329640000,179376000,-122890000,2022-06-22,2.5
CURY3,Bens Industriais,2022-03-31,291875000,11.50,2933910000,602568000,2090960000,390862000,-211706000,1846380000,648107000,407296000,311663000,2022-06-22,5.87
PLPL3,Bens Industriais,2022-03-31,204256000,7.40,1377370000,276868000,1227000000,412554000,135686000,1275070000,332093000,293644000,107106000,2022-06-22,2.16
PETZ3,Bens Industriais,2022-03-31,459940000,0.40,3424020000,498583000,1256480000,170982000,-327601000,2275680000,1768960000,216625000,69748000,2022-06-22,10.71
PGMN3,Bens Industriais,2022-03-31,443781000,0.00,6475270000,486471000,3356050000,1080170000,593698000,7725270000,2111930000,353993000,143723000,2022-06-22,4.77
LAVV3,Bens Industriais,2022-03-31,199534000,20.10,1778450000,518241000,1371400000,3062000,-515179000,618400000,1186460000,169989000,181758000,2022-06-22,4.55
LJQQ3,Bens Industriais,2022-03-31,187290000,1.80,2561740000,223615000,1674110000,393795000,170180000,2138470000,533741000,158045000,46351000,2022-06-22,6.48
DMVF3,Bens Industriais,2022-03-31,50603000,0.00,1439840000,76994000,382014000,45186000,-31808000,1212640000,830950000,82722000,3255000,2022-06-22,3.74
SOMA3,Bens Industriais,2022-03-31,784747000,0.90,10253100000,385407000,3014820000,1279130000,893722000,3455710000,7173290000,309602000,327468000,2022-06-22,10.03
AMBP3,Bens Industriais,2022-03-31,112936000,1.40,5931180000,1485620000,2271520000,3750080000,2264460000,2419960000,1033160000,392145000,159131000,2022-06-22,22.66
ALPK3,Bens Industriais,2022-03-31,214427000,0.00,2529430000,37350000,209760000,1322960000,1285610000,913455000,511504000,145869000,-202591000,2022-06-22,1.93
MTRE3,Bens Industriais,2022-03-31,105775000,6.40,1611940000,203147000,1290430000,133562000,-69585000,627461000,985883000,59007000,43671000,2022-06-22,4.33
MDNE3,Bens Industriais,2022-03-31,84909000,0.00,2613660000,170535000,1045540000,80181000,-90354000,630488000,1097900000,99738000,89191000,2022-06-22,5.45
VIIA3,Consumo Cíclico,2022-03-31,1598430000,0.00,34729000000,1286000000,17080000000,9435000000,8149000000,30751000000,5635000000,1217000000,-459000000,2022-06-22,2.29
CEDO3,Consumo Cíclico,2022-03-31,10000000,0.00,859999000,9992000,455899000,225464000,215472000,1027740000,121313000,48873000,-12376000,2022-06-21,6.71
RDNI3,Consumo Cíclico,2022-03-31,43770000,0.80,1959630000,49084000,856263000,514319000,465235000,517026000,626058000,18380000,7843000,2022-06-22,7.8
SLED3,Consumo Cíclico,2022-03-31,1812000,0.00,235863000,24321000,130329000,251049000,226728000,83187000,-505770000,-44158000,57925000,2022-06-21,10.95
RSID3,Consumo Cíclico,2022-03-31,20000000,0.00,910999000,5417000,448191000,588807000,583390000,22944000,-822553000,-76535000,-299099000,2022-06-22,1.9
MNDL3,Consumo Cíclico,2022-03-31,2480000,0.00,1255860000,5304000,418362000,321178000,315874000,711526000,-740803000,87867000,-596780000,2022-06-22,26.15
LEVE3,Consumo Cíclico,2022-03-31,128309000,18.20,3028540000,361049000,1690860000,239058000,-121991000,3670130000,1773710000,627119000,563715000,2022-06-22,23.29
CTKA3,Consumo Cíclico,2022-03-31,6205000,0.00,631730000,11536000,443313000,574980000,563444000,584933000,-151344000,50808000,31074000,2022-01-31,27.5
MYPK3,Consumo Cíclico,2022-03-31,153720000,9.10,13552800000,1385990000,6961440000,5688630000,4302630000,14832500000,3597670000,1177600000,645925000,2022-06-22,15.42
GRND3,Consumo Cíclico,2022-03-31,902160000,5.90,4604020000,1334080000,2853580000,178842000,-1155230000,2337150000,4124610000,341722000,597317000,2022-06-22,7.32
LCAM3,Consumo Cíclico,2022-03-31,508729000,2.50,18835000000,2162840000,4030750000,10446200000,8283370000,6678460000,5076600000,2023890000,994844000,2022-06-22,22.61
CEAB3,Consumo Cíclico,2022-03-31,308245000,0.00,8256190000,664351000,3626440000,1710240000,1045890000,5574150000,2825950000,-109079000,314823000,2022-06-22,2.45
LLIS3,Consumo Cíclico,2022-03-31,68851000,0.00,1533100000,36958000,486224000,1784970000,1748010000,940789000,-586294000,-75728000,-863366000,2022-06-22,1.59
CGRA3,Consumo Cíclico,2022-03-31,19322800,8.50,1107780000,61979000,519619000,25790000,-36189000,659433000,771112000,138661000,184524000,2022-06-21,28.39
ESTR3,Consumo Cíclico,2022-03-31,808000,0.00,274145000,1358000,149659000,76690000,75332000,182030000,-513282000,20824000,-9682000,2021-07-12,40.0
DIRR3,Consumo Cíclico,2022-03-31,150000000,0.00,5817670000,1060250000,3034810000,1324820000,264571000,1830590000,1328210000,336257000,159829000,2022-06-22,9.9
CTNM3,Consumo Cíclico,2021-12-31,30636000,0.00,4228890000,273547000,1865840000,1489430000,1215880000,2212210000,768566000,148846000,-81861000,2022-06-22,8.1
EVEN3,Consumo Cíclico,2022-03-31,212000000,1.60,6044830000,890206000,4420320000,389558000,-500648000,2052490000,1840500000,260569000,162647000,2022-06-22,4.54
AMAR3,Consumo Cíclico,2022-03-31,342836000,0.00,3338450000,121895000,1675330000,1413100000,1291210000,2696090000,1093500000,275205000,-95531000,2022-06-22,2.03
